,GNIS_NAME,TPavg,chlaavg
136,Church Pine Lake,30.72169811320755,13.16215189873418
137,Cedar Lake,89.66256157635468,32.25030722891566
138,Church Pine Lake,14.440412371134018,2.8159466666666666
139,Deer Lake,22.00740740740741,8.88836956521739
140,Long Lake,69.77575757575757,33.69362068965518
141,Loveless Lake,40.944736842105264,18.519591836734694
142,North Pipe Lake,35.61279069767442,19.903676470588234
143,Pipe Lake,24.060882352941178,3.8252380952380953
144,Wapogasset Lake,44.49256756756756,52.36666666666667
145,Ward Lake,25.91354166666667,13.808666666666666
146,Church Pine Lake,23.042785714285714,6.310675675675675
147,Collins Lake,28.766666666666666,9.814848484848484
148,Lake Emily,16.465633802816896,4.068327586206896
149,Butternut Lake,49.73228346456693,22.135999999999996
150,Lac Sault Dore 272,52.64390243902439,17.551979166666666
151,Musser Lake 83,51.206993006993,13.63780701754386
152,,64.97763157894738,36.938793103448276
153,Round Lake,34.557500000000005,14.470298507462685
154,Round Lake,33.727999999999994,13.525675675675677
155,,91.6421686746988,45.389375
156,Round Lake,36.24303797468354,14.373076923076923
157,Browns Lake,23.535820895522388,6.3388785046728975
158,Eagle Lake,64.2280701754386,31.837857142857143
159,Tichigan Lake,69.51470588235294,22.915666666666667
160,Wind Lake 35,37.66136363636363,10.216194690265485
161,Clear Lake,37.23653846153846,23.798131868131865
162,Amacoy Lake,34.822500000000005,27.03857142857143
163,McCann Lake,16.425352112676055,3.7965151515151514
164,McCann Lake,23.740000000000006,7.956268656716417
165,Sand Lake,13.82621359223301,3.9636538461538464
166,Cedar Lake,89.66256157635468,32.25030722891566
167,Lake Mallalieu,79.28309859154929,56.019615384615385
168,Devils Lake,20.000171428571427,5.030592814371257
169,Dutch Hollow Lake 5,23.353921568627456,5.68890099009901
170,Lake Redstone 30,51.25819672131148,33.646698113207556
171,Clear Lake,12.248333333333333,2.692944444444444
172,Grindstone Lake,50.65151515151515,3.712244897959184
173,Lac Courte Oreilles,11.025666666666668,2.477834061135371
174,Lost Land Lake,21.686206896551724,9.292166666666667
175,Lower Clam Lake,39.21351351351352,12.794307692307692
176,Moose Lake,37.17704918032786,8.680076923076923
177,Sand Lake,26.177118644067793,8.7537
178,Lost Land Lake,29.21739130434783,13.449270833333335
179,Whitefish Lake,15.690777777777775,3.4014864864864864
180,Big Lake,16.007978723404257,6.285212765957446
181,Pine Lake,17.675948275862073,6.1506136363636355
182,Long Lake,36.002197802197806,17.793333333333337
183,Pine Lake,13.65193103448276,3.9050943396226416
184,Pine Lake,17.908607594936704,4.481163636363636
185,Shawano Lake,33.237272727272725,11.85825581395349
